time_ms;Q_tulipe;T_tulipe;Q_tige;T_tige;Q_aux;T_aux;P_chamber;sensor_id
0.0;0.0;300.271;0.0;350.453;0.0;399.867;101337.1;7
5.0;-0.01743;301.52;-0.013053;352.895;0.004549;400.272;101458.8;7
15.0;-0.028179;304.114;0.000253;358.97;0.0;399.593;101424.4;7
19.9;0.070891;305.057;0.02078;361.351;0.000304;400.314;101526.3;7
25.0;0.111016;306.473;0.039037;363.511;0.003236;399.94;101488.0;7
35.0;0.19061;309.081;0.065583;367.783;0.00063;399.999;101595.6;7
37.9;0.259384;309.369;0.091453;369.039;0.0;399.864;101605.6;7
45.0;0.385448;310.626;0.148087;370.457;0.006403;399.99;101601.2;7
55.0;0.608949;312.577;0.174898;373.569;0.0;400.254;101592.7;7
65.0;0.833892;314.248;0.261845;375.269;0.010557;400.154;101676.0;7
75.0;1.134804;315.276;0.340799;376.251;0.003434;400.099;101804.0;7
84.9;1.430331;316.422;0.485161;377.128;0.000355;400.018;101806.7;7
84.9;1.469566;316.74;0.486791;376.463;0.002197;399.711;101741.2;7
85.0;1.428968;316.391;0.455381;376.296;0.0;399.831;101746.0;7
95.0;1.686759;317.242;0.588017;377.648;0.0;399.931;101703.3;7
97.3;1.731748;317.746;0.622563;377.207;0.001038;400.092;101867.2;7
105.0;1.912793;318.12;0.692626;377.722;0.030311;400.014;101853.6;7
111.9;2.090726;318.607;0.776053;377.419;0.057121;400.197;101811.4;7
115.0;2.137605;319.313;0.798283;376.724;0.070562;400.095;101831.1;7
125.0;2.283657;319.452;0.875883;377.416;0.114147;400.011;101716.5;7
135.0;2.391297;319.224;0.996893;376.427;0.157396;400.455;101796.7;7
145.0;2.470072;320.471;1.073591;375.882;0.191256;400.081;101876.0;7
155.0;2.46826;320.457;1.120423;374.443;0.212104;400.645;101839.0;7
165.0;2.428743;320.556;1.132136;373.636;0.234788;402.461;101779.7;7
175.0;2.321112;320.708;1.152495;373.389;0.245965;403.558;101728.8;7
185.0;2.182146;320.327;1.143971;371.391;0.266723;404.793;101729.3;7
189.8;2.061257;320.311;1.164017;370.962;0.27012;404.903;101654.1;7
195.0;2.003587;319.478;1.157251;369.344;0.268335;405.631;101560.5;7
205.0;1.812093;319.454;1.102957;369.779;0.269115;406.055;101592.6;7
215.0;1.532597;319.806;1.051679;368.081;0.27501;407.326;101558.0;7
225.0;1.253681;319.081;0.950258;366.401;0.277962;407.883;101535.6;7
235.0;1.007353;318.393;0.878466;364.696;0.284666;408.318;101346.6;7
245.0;0.721187;318.534;0.759014;362.865;0.281721;409.405;101350.2;7
255.0;0.483498;318.695;0.664814;361.682;0.264591;409.389;101289.8;7
265.0;0.336496;319.34;0.583401;360.628;0.255478;409.868;101176.2;7
275.0;0.156688;319.654;0.460987;358.483;0.247609;410.775;101194.9;7
285.0;0.034241;320.18;0.381107;357.33;0.233346;411.226;101149.5;7
295.0;-0.010765;321.04;0.276793;355.542;0.223269;411.676;101042.6;7
297.4;-0.020758;321.346;0.288569;355.72;0.212247;411.713;101147.2;7
298.5;0.003305;321.2;0.239469;356.814;0.217861;411.898;101022.8;7
305.0;0.01849;321.545;0.163851;355.113;0.201233;411.956;100984.0;7
315.0;0.078933;322.238;0.113861;354.112;0.189138;412.093;100936.7;7
325.0;0.185352;323.049;0.044884;353.515;0.164715;412.379;100879.7;7
335.0;0.336164;323.439;0.036253;351.734;0.143109;412.585;100858.9;7
345.0;0.51112;324.073;0.003043;352.304;0.134885;412.925;100788.4;7
349.9;0.610259;323.661;-0.002058;352.157;0.120126;412.748;100840.1;7
355.0;0.711411;323.921;0.000551;351.421;0.094698;413.137;100843.6;7
361.4;0.920736;324.541;0.023617;351.736;0.087198;413.171;100718.1;7
365.0;0.986551;324.144;0.014821;350.086;0.087349;413.308;100823.8;7
375.0;1.241788;324.965;0.071042;351.305;0.052483;413.475;100827.1;7
385.0;1.53348;325.088;0.130221;349.773;0.039086;413.079;100854.7;7
395.0;1.740453;325.164;0.180162;349.375;0.015106;413.525;100900.9;7
405.0;2.001425;324.537;0.255489;349.897;0.0;413.807;100902.7;7
409.6;2.084531;324.843;0.304111;350.993;0.0;413.87;100840.5;7
415.0;2.158172;324.691;0.374746;350.129;0.0;413.992;100850.0;7
425.0;2.331014;325.143;0.46778;349.918;0.0;414.102;100949.5;7
425.8;2.362309;325.38;0.484258;349.761;0.0;414.352;100896.1;7
435.0;2.454731;325.148;0.59943;350.698;0.0;414.195;100899.1;7
445.0;2.52306;324.904;0.683911;350.238;0.0;414.152;101125.0;7
455.0;2.499915;324.805;0.773188;351.186;0.0;413.97;101041.6;7
465.0;2.506266;325.119;0.900102;353.321;0.0;414.084;101080.8;7
466.3;2.409456;324.559;0.897264;353.311;0.0;414.473;101009.9;7
475.0;2.324559;325.095;0.987108;353.305;0.0;414.63;101213.1;7
475.6;2.323375;324.66;0.995045;353.189;0.0;414.73;101124.7;7
485.0;2.150556;325.128;1.037393;354.322;0.0;414.308;101232.7;7
495.0;2.005581;324.9;1.135743;356.486;0.0;414.463;101342.0;7
